                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1862,                0.96666,                 1.6943,                0.70421,                0.72911,                0.75611,                0.52274,                 1.1902,                0.99236,                 1.7683,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.1708,                0.96477,                 1.6906,                0.70088,                0.71407,                 0.7504,                0.52164,                 1.1743,                 1.0111,                 1.7335,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.1735,                0.95303,                 1.6639,                0.73395,                0.68891,                0.76308,                0.50826,                 1.2429,                 1.0182,                 1.7976,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.1707,                0.95053,                   1.67,                0.67759,                0.70793,                0.74885,                0.51081,                 1.2003,                 1.0197,                  1.776,             0.00044576,             0.00044576,             0.00044576
                     39,                  1.128,                0.92478,                 1.6384,                0.67575,                0.71429,                0.75316,                0.51046,                 1.1929,                 1.0359,                 1.7811,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.1274,                 0.9245,                 1.6516,                0.72935,                0.70343,                0.76984,                0.53293,                 1.1695,                0.95343,                 1.7506,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.1041,                0.91969,                 1.6357,                 0.7302,                0.72101,                0.77534,                 0.5332,                 1.1667,                0.97032,                 1.7529,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.0681,                0.82619,                 1.6042,                0.70678,                0.71021,                0.76161,                0.53037,                 1.1727,                0.98238,                 1.7626,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.0638,                0.80416,                 1.6189,                0.71919,                0.70603,                0.75944,                0.52585,                 1.1636,                0.98687,                 1.7443,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.0665,                0.80748,                 1.6136,                0.69847,                0.74614,                 0.7619,                  0.528,                 1.1553,                0.98751,                 1.7219,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.0456,                0.78195,                    1.6,                0.72275,                0.70326,                 0.7602,                0.52003,                 1.2147,                0.97579,                 1.7803,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.0403,                0.77507,                  1.573,                0.78484,                0.70715,                0.80104,                0.55537,                 1.1587,                0.90098,                 1.7342,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.0233,                0.75117,                 1.5559,                0.72818,                0.69224,                0.76115,                0.53235,                 1.1548,                0.95782,                 1.7357,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.0219,                0.74383,                 1.5723,                 0.7453,                0.71792,                0.78512,                0.55523,                 1.1506,                0.90591,                 1.7206,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.0229,                0.73833,                 1.5451,                0.77515,                0.70767,                0.79608,                0.55987,                 1.1513,                 0.9027,                 1.7221,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.0026,                0.71532,                 1.5387,                0.76273,                0.72527,                0.80161,                0.55908,                   1.15,                0.89101,                 1.7177,             4.9677e-05,             4.9677e-05,             4.9677e-05
