                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75244,                0.43219,                 1.0693,                 0.8033,                0.75627,                0.85434,                0.60425,                 1.1465,                0.78511,                 1.3758,               0.003268,               0.003268,               0.003268
                     36,                0.72541,                0.41426,                 1.0619,                0.79412,                0.76622,                0.84242,                0.59386,                 1.1598,                0.79721,                  1.393,                0.00307,                0.00307,                0.00307
                     37,                0.72224,                0.39985,                 1.0675,                0.75305,                0.78615,                 0.8401,                 0.5947,                 1.1575,                0.82053,                 1.3999,               0.002872,               0.002872,               0.002872
                     38,                0.71592,                0.39668,                 1.0569,                0.79357,                0.76427,                 0.8411,                0.59405,                 1.1539,                0.80954,                 1.4109,               0.002674,               0.002674,               0.002674
                     39,                0.68732,                0.38509,                 1.0389,                0.80054,                0.74076,                0.82959,                0.58371,                 1.1619,                0.82571,                 1.4237,               0.002476,               0.002476,               0.002476
                     40,                0.66972,                0.33471,                 1.0339,                0.83156,                0.70118,                0.81219,                0.57825,                 1.1751,                0.92947,                 1.4352,               0.002278,               0.002278,               0.002278
                     41,                0.63305,                0.29839,                 1.0071,                0.77799,                0.77901,                0.84116,                0.60961,                 1.1347,                0.83097,                 1.4085,                0.00208,                0.00208,                0.00208
                     42,                0.60683,                0.28579,                 0.9911,                 0.8579,                0.68778,                0.81784,                 0.5855,                  1.148,                0.90049,                 1.4279,               0.001882,               0.001882,               0.001882
                     43,                0.61486,                0.29892,                 1.0019,                0.77725,                0.76855,                0.83138,                0.59479,                 1.1508,                0.87877,                 1.4356,               0.001684,               0.001684,               0.001684
                     44,                0.58896,                0.27972,                0.98971,                0.81293,                0.73184,                0.82601,                0.59774,                 1.1527,                0.86818,                 1.4582,               0.001486,               0.001486,               0.001486
                     45,                0.55913,                0.27397,                 0.9773,                0.79597,                0.73962,                0.83212,                  0.598,                 1.1501,                 0.8696,                 1.4525,               0.001288,               0.001288,               0.001288
                     46,                0.55442,                0.29728,                0.96408,                0.83864,                  0.715,                 0.8388,                 0.6002,                 1.1438,                0.85797,                 1.4412,                0.00109,                0.00109,                0.00109
                     47,                0.53715,                0.28927,                0.96283,                0.84007,                0.72572,                0.83724,                  0.607,                 1.1434,                0.85743,                  1.464,               0.000892,               0.000892,               0.000892
                     48,                0.51578,                 0.2468,                0.94048,                0.82892,                0.72877,                0.83579,                0.60654,                 1.1374,                0.87481,                 1.4706,               0.000694,               0.000694,               0.000694
                     49,                0.50072,                0.24034,                0.93657,                0.86755,                 0.6918,                0.83047,                0.60097,                 1.1406,                0.88974,                 1.4828,               0.000496,               0.000496,               0.000496
